Cores,Time(s),Efficiency
1,9.985238,1.0
2,11.508905,0.4338048667531794
4,15.866174,0.157335315999938
8,10.608051,0.11766108119201163
16,104.272495,0.005985062264022741
32,24.855735,0.01255399156371759
64,24.295746,0.006421673314744071
