Cores,Time(s),Speedup,Efficiency
1,176.169712,1.0,1.0
2,74.069743,2.3784301776232706,1.1892150888116353
4,39.969444,4.407609773105675,1.1019024432764188
8,21.21575,8.303723035952064,1.037965379494008
16,9.723075,18.118723963355215,1.132420247709701
32,5.545658,31.767143231695858,0.9927232259904956
